Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             5.98461  \pm      0.0302235           0.0050502
       pep           0.0156919  \pm    0.000472063           0.0300832
       hep            8.04e-07  \pm              0                   0
   Be7_384            0.052755  \pm    0.000213756          0.00405187
   Be7_862            0.448718  \pm     0.00181814          0.00405187
        B8         0.000517382  \pm    8.32749e-06           0.0160954
       N13           0.0288185  \pm     0.00638694            0.221627
       O15           0.0161968  \pm     0.00248522            0.153439
       F17            0.000552  \pm              0                   0
      Kr85             22081.8  \pm        5632.54            0.255076
     Bi210              768655  \pm         8787.6           0.0114324
       C11             4774.34  \pm        157.165           0.0329187
       C14         1.02923e+11  \pm         321028         3.11912e-06
       C10             129.336  \pm        106.777            0.825578
     Tl208             2515.09  \pm        73.3473           0.0291628
      Be11              4.7856  \pm              0                   0
  ExtTl208             37745.1  \pm        225.768          0.00598139
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp              5.9735  \pm      0.0311768          0.00521918
       pep           0.0134296  \pm    0.000527427           0.0392736
       hep            8.04e-07  \pm              0                   0
   Be7_384           0.0529567  \pm    0.000222763           0.0042065
   Be7_862            0.450434  \pm     0.00189475           0.0042065
        B8         0.000530883  \pm    8.46153e-06           0.0159386
       N13           0.0252246  \pm     0.00813309            0.322427
       O15           0.0275586  \pm      0.0026069           0.0945949
       F17            0.000552  \pm              0                   0
      Kr85               30637  \pm        6240.73            0.203699
     Bi210              741689  \pm        9186.47           0.0123859
       C11             4330.72  \pm        153.088           0.0353493
       C14         1.02922e+11  \pm         320925         3.11813e-06
       C10             94.3405  \pm         102.89             1.09063
     Tl208             2509.27  \pm        74.2662           0.0295967
      Be11              4.7856  \pm              0                   0
  ExtTl208               37887  \pm        211.831          0.00559113
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             5.95588  \pm      0.0308235           0.0051753
       pep            0.014507  \pm    0.000364793           0.0251461
       hep            8.04e-07  \pm              0                   0
   Be7_384           0.0524791  \pm    0.000217257          0.00413988
   Be7_862            0.446372  \pm     0.00184793          0.00413988
        B8         0.000524568  \pm    7.48963e-06           0.0142777
       N13           0.0334618  \pm     0.00704425            0.210516
       O15           0.0229373  \pm     0.00201274           0.0877494
       F17            0.000552  \pm              0                   0
      Kr85             31752.9  \pm        5689.04            0.179166
     Bi210              745577  \pm        7911.36           0.0106111
       C11             4379.97  \pm        151.837           0.0346663
       C14         1.02922e+11  \pm         318932         3.09877e-06
       C10             120.068  \pm        102.673            0.855127
     Tl208             2419.07  \pm        73.5254           0.0303941
      Be11              4.7856  \pm              0                   0
  ExtTl208             38130.5  \pm         209.12          0.00548432
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             5.91107  \pm      0.0293828          0.00497081
       pep           0.0141915  \pm    0.000491864           0.0346591
       hep            8.04e-07  \pm              0                   0
   Be7_384           0.0523346  \pm    0.000193828          0.00370363
   Be7_862            0.445142  \pm     0.00164864          0.00370363
        B8         0.000524149  \pm    8.31054e-06           0.0158553
       N13            0.038694  \pm     0.00405364            0.104762
       O15           0.0249366  \pm     0.00248653           0.0997139
       F17            0.000552  \pm              0                   0
      Kr85             25791.2  \pm        4605.78             0.17858
     Bi210              733864  \pm        6602.32          0.00899664
       C11             4246.55  \pm        154.709           0.0364317
       C14         1.02923e+11  \pm         320674         3.11567e-06
       C10             48.3731  \pm        108.296             2.23876
     Tl208             2596.71  \pm        74.1694           0.0285628
      Be11              4.7856  \pm              0                   0
  ExtTl208             37855.2  \pm        225.678          0.00596163
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             5.99287  \pm      0.0304379          0.00507902
       pep           0.0140578  \pm    0.000339705           0.0241649
       hep            8.04e-07  \pm              0                   0
   Be7_384           0.0525728  \pm    0.000221487          0.00421295
   Be7_862            0.447169  \pm      0.0018839          0.00421295
        B8         0.000532738  \pm    8.46847e-06           0.0158961
       N13           0.0398972  \pm     0.00562044            0.140873
       O15           0.0258656  \pm     0.00141924           0.0548697
       F17            0.000552  \pm              0                   0
      Kr85             14492.5  \pm        4894.26            0.337711
     Bi210              731845  \pm        5257.18          0.00718345
       C11              4311.1  \pm        146.561           0.0339961
       C14         1.02922e+11  \pm         323514         3.14328e-06
       C10             46.9097  \pm        106.417             2.26855
     Tl208             2427.65  \pm        73.4303           0.0302474
      Be11              4.7856  \pm              0                   0
  ExtTl208             37687.8  \pm        225.828          0.00599208
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             6.04873  \pm      0.0303451          0.00501677
       pep           0.0140926  \pm     0.00051045           0.0362212
       hep            8.04e-07  \pm              0                   0
   Be7_384           0.0524517  \pm    0.000223241          0.00425612
   Be7_862            0.446138  \pm     0.00189882          0.00425612
        B8         0.000525048  \pm       8.39e-06           0.0159795
       N13           0.0313925  \pm     0.00727365            0.231701
       O15           0.0249818  \pm     0.00258606            0.103518
       F17            0.000552  \pm              0                   0
      Kr85               28669  \pm        5506.27            0.192063
     Bi210              742041  \pm        8440.11           0.0113742
       C11             4457.86  \pm        157.296           0.0352852
       C14         1.02923e+11  \pm         321197         3.12076e-06
       C10             110.674  \pm        107.632            0.972514
     Tl208             2466.75  \pm        74.3152           0.0301267
      Be11              4.7856  \pm              0                   0
  ExtTl208               37650  \pm        226.752          0.00602262
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             6.04251  \pm      0.0302564          0.00500727
       pep           0.0140992  \pm    0.000237758           0.0168632
       hep            8.04e-07  \pm              0                   0
   Be7_384           0.0526311  \pm    0.000215639          0.00409718
   Be7_862            0.447664  \pm     0.00183416          0.00409718
        B8         0.000543855  \pm    8.18978e-06           0.0150588
       N13           0.0166342  \pm     0.00627357            0.377149
       O15           0.0225123  \pm     0.00151232           0.0671777
       F17            0.000552  \pm              0                   0
      Kr85             35676.8  \pm        5252.98            0.147238
     Bi210              771025  \pm        7647.83          0.00991904
       C11             4606.49  \pm        144.213           0.0313065
       C14         1.02923e+11  \pm         320037         3.10948e-06
       C10             85.9354  \pm        108.666             1.26451
     Tl208             2477.19  \pm        73.7768           0.0297824
      Be11              4.7856  \pm              0                   0
  ExtTl208             37578.8  \pm        223.953          0.00595957
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             5.98484  \pm      0.0287529          0.00480428
       pep           0.0143018  \pm    0.000524507           0.0366742
       hep            8.04e-07  \pm              0                   0
   Be7_384           0.0526392  \pm    0.000140694           0.0026728
   Be7_862            0.447733  \pm      0.0011967           0.0026728
        B8         0.000516927  \pm    8.29254e-06            0.016042
       N13           0.0246213  \pm     0.00554011            0.225013
       O15           0.0231235  \pm     0.00258328            0.111717
       F17            0.000552  \pm              0                   0
      Kr85             35515.4  \pm        6020.99            0.169532
     Bi210              751927  \pm           7777           0.0103428
       C11             4564.27  \pm        159.207           0.0348811
       C14         1.02923e+11  \pm         320590         3.11484e-06
       C10             74.3294  \pm         105.98             1.42582
     Tl208             2454.23  \pm        72.7205           0.0296306
      Be11              4.7856  \pm              0                   0
  ExtTl208             38010.3  \pm        225.669          0.00593706
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             5.95451  \pm      0.0291997           0.0049038
       pep           0.0149259  \pm    0.000283762           0.0190114
       hep            8.04e-07  \pm              0                   0
   Be7_384            0.052606  \pm    0.000219069          0.00416434
   Be7_862            0.447451  \pm     0.00186334          0.00416434
        B8         0.000534571  \pm    7.82144e-06           0.0146312
       N13           0.0318272  \pm     0.00295802           0.0929401
       O15           0.0211495  \pm     0.00152624           0.0721645
       F17            0.000552  \pm              0                   0
      Kr85             28693.3  \pm        4114.36            0.143391
     Bi210              750433  \pm        2885.89          0.00384564
       C11             4476.77  \pm        140.549           0.0313952
       C14         1.02922e+11  \pm         318777         3.09726e-06
       C10            -37.9417  \pm        102.698            -2.70674
     Tl208              2506.1  \pm        73.3287           0.0292601
      Be11              4.7856  \pm              0                   0
  ExtTl208             38156.9  \pm        212.942          0.00558069
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
        pp             5.92826  \pm      0.0303065          0.00511221
       pep           0.0145969  \pm    0.000501608           0.0343641
       hep            8.04e-07  \pm              0                   0
   Be7_384           0.0528204  \pm    0.000121265          0.00229579
   Be7_862            0.449274  \pm     0.00103144          0.00229579
        B8         0.000519659  \pm    8.23794e-06           0.0158526
       N13           0.0176212  \pm     0.00739948            0.419919
       O15            0.022334  \pm       0.002441            0.109295
       F17            0.000552  \pm              0                   0
      Kr85             39266.1  \pm        6010.85             0.15308
     Bi210              758443  \pm        9170.45           0.0120911
       C11             4222.81  \pm         151.91           0.0359738
       C14         1.02923e+11  \pm         309221          3.0044e-06
       C10             -41.615  \pm        103.908             -2.4969
     Tl208             2493.48  \pm        73.2304           0.0293687
      Be11              4.7856  \pm              0                   0
  ExtTl208             38340.6  \pm        224.989          0.00586816
Open file from: /work/wangzhe9_work/neutrino/Experiment/Jinping/Sensitivity/Flux/result/tmp/80/GS98-500PE.root
-----------------------------------------------------------------
Fit results:
