#Observed and expected event rates in each energy bin at 1AU. Unit:events/kton/year.
#The errors are statistical only.
#Expected event rates are for BP2004 SSM flux values(5.79e6 for B8 and 7.88e3 for hep. Unit:/cm^2/sec)
#The 7.0-7.5 MeV bin is excluded from day-night analysis.
#
#Energy[MeV]                  Observed rate            	                Expected rate                                  
#           All               Day               Night             B8    hep
7.0		7.5		43.7	5.2		-5.1	0			0			0			0			0			0			112.4	0.257
7.5		8.0		40.0	3.6		-3.5	36.4	5.1		-4.9	43.6	5.2		-5.0	99.1	0.245
8.0		8.5		34.9	2.5		-2.4	34.4	3.5		-3.4	35.5	3.5		-3.4	85.9	0.231
8.5		9.0		30.1	2.0		-1.9	27.0	2.8		-2.7	33.0	2.8		-2.7	73.5	0.215
9.0		9.5		24.5	1.6		-1.6	23.9	2.3		-2.2	25.0	2.3		-2.2	61.4	0.198
9.5		10.0	22.0	1.4		-1.4	20.7	2.0		-1.9	23.3	2.0		-1.9	50.3	0.181
10.0	10.5	16.6	1.2		-1.1	15.4	1.7		-1.6	17.6	1.7		-1.6	40.7	0.163
10.5	11.0	13.9	1.0		-1.0	13.5	1.5		-1.4	14.2	1.5		-1.4	32.1	0.145
11.0	11.5	10.3	0.9		-0.8	11.3	1.3		-1.2	9.4		1.2		-1.1	25.3	0.129
11.5	12.0	8.06	0.71	-0.66	7.11	1.00	-0.90	8.96	1.03	-0.94	19.51	0.113
12.0	12.5	6.28	0.62	-0.58	6.82	0.94	-0.84	5.79	0.86	-0.77	14.67	0.098
12.5	13.0	4.07	0.50	-0.45	4.18	0.73	-0.63	3.97	0.70	-0.61	10.96	0.084
13.0	13.5	3.32	0.43	-0.38	2.95	0.62	-0.53	3.66	0.61	-0.53	7.91	0.071
13.5	14.0	2.23	0.35	-0.30	2.95	0.57	-0.48	1.59	0.44	-0.35	5.74	0.060
14.0	15.0	2.77	0.39	-0.35	2.99	0.60	-0.51	2.58	0.53	-0.45	6.90	0.091
15.0	16.0	1.75	0.30	-0.26	1.37	0.42	-0.32	2.08	0.45	-0.37	3.41	0.063
16.0	20.0	1.37	0.27	-0.22	1.11	0.37	-0.28	1.60	0.40	-0.31	2.52	0.089
