#Observed and expected event rates in each energy bin at 1AU. Unit:events/kton/year.
#The errors are statistical only.
#Expected event rates are for BP2004 SSM flux values(5.79e6 for B8 and 7.88e3 for hep. Unit:/cm^2/sec)
#
#Energy[MeV]                    Observed rate                           Expected rate
#						All              	  Day                 Night               B8    hep
5.0		5.5		74.7	6.6		-6.5		72.1	9.5		-9.4		77.1	9.2		-9.0		182.9	0.312
5.5		6.0		65.0	3.3		-3.2		64.8	4.7		-4.6		65.1	4.6		-4.5		167.7	0.309
6.0		6.5		61.5	2.4		-2.3		60.2	3.4		-3.3		62.6	3.3		-3.2		151.9	0.294
6.5		7.0		54.1	1.7		-1.7		54.2	2.4		-2.4		53.9	2.4		-2.3		135.3	0.284
7.0		7.5		49.4	1.5		-1.5		49.2	2.2		-2.1		49.6	2.1		-2.1		119.2	0.266
7.5		8.0		44.3	1.4		-1.4		44.8	2.0		-1.9		43.8	1.9		-1.9		103.5	0.249
8.0		8.5		36.3	1.2		-1.2		35.7	1.7		-1.7		36.8	1.7		-1.7		88.3	0.236
8.5		9.0		28.7	1.0		-1.0		26.6	1.5		-1.4		30.6	1.5		-1.4		74.1	0.221
9.0		9.5		25.0	0.9		-0.9		25.4	1.4		-1.3		24.6	1.3		-1.2		61.4	0.196
9.5		10.0	20.8	0.8		-0.8		20.7	1.2		-1.1		20.8	1.2		-1.1		49.9	0.185
10.0	10.5	16.2	0.7		-0.7		15.7	1.0		-0.9		16.7	1.0		-0.9		39.6	0.167
10.5	11.0	11.2	0.6		-0.5		10.9	0.8		-0.7		11.5	0.8		-0.8		30.7	0.149
11.0	11.5	9.85	0.51	-0.49		9.65	0.74	-0.68		10.03	0.73	-0.68		23.28	0.130
11.5	12.0	6.79	0.42	-0.40		7.14	0.63	-0.58		6.47	0.58	-0.53		17.27	0.118
12.0	12.5	5.13	0.36	-0.33		5.05	0.52	-0.47		5.21	0.51	-0.46		12.45	0.098
12.5	13.0	3.65	0.30	-0.28		3.96	0.46	-0.41		3.38	0.41	-0.36		8.76	0.090
13.0	13.5	2.46	0.25	-0.23		2.56	0.38	-0.33		2.37	0.35	-0.30		5.94	0.073
13.5	14.0	2.02	0.22	-0.20		1.95	0.32	-0.27		2.09	0.32	-0.27		3.88	0.060
14.0	15.0	1.72	0.21	-0.19		1.60	0.31	-0.25		1.85	0.31	-0.26		4.01	0.094
15.0	16.0	0.949	0.157	-0.133	0.750	0.218	-0.165	1.136	0.238	-0.192	1.439	0.057
16.0	20.0	0.341	0.103	-0.077	0.240	0.148	-0.093	0.423	0.156	-0.109	0.611	0.068
