#NCD phase livetime distribution. Taken from Osimard, phd thesis, Figure 7.3. Compare with Nbarros, phd thesis, Figure 6.6.
#However, one should notice that the two theses above have the wrong y axis.
#First volume: Nadir angle in degrees. Second volume: arbitrary value for livetime.
#Start at 24 degree and end at 158 degree. 67 bins in total.
#NCD phase total live time from NCD PRL: 385.17 live days. This is a scale factor.
25.029	2.15043
26.982	1.19434
28.854	1.41588
31.16	1.37699
32.914	1.34305
34.901	1.28505
36.903	1.3509
38.875	1.2384
40.833	1.28302
42.674	1.20166
44.981	1.26185
47.012	1.35389
48.955	1.43248
51	1.42826
53.045	1.42051
55.148	1.43257
57.179	1.42907
59.108	1.39017
61.138	1.45461
63.039	1.59972
65.027	1.77243
67.029	2.00035
69.192	2.37264
71.051	2.98272
73.092	2.14906
75.107	1.9665
77.079	1.82924
79.095	1.76274
80.951	1.67431
83.097	1.6609
85.099	1.62767
87.245	1.58382
89.145	1.58031
91.233	1.55911
92.988	1.53508
94.96	1.54856
96.962	1.5493
99.05	1.52031
101.11	1.55644
102.923	1.5869
104.968	1.65204
106.955	1.72143
108.987	1.87999
110.993	2.8326
113.017	1.53186
115.121	1.67909
117.048	1.41444
119.078	1.35998
121.036	1.34939
122.936	1.26803
124.995	1.16616
127.054	1.19733
129.07	1.11385
131.086	1.21438
133.146	1.18964
134.958	1.09837
136.829	1.13308
139.019	1.13948
141.035	1.06662
142.949	0.99234
144.936	0.99096
146.938	1.08936
149.041	1.20829
151.115	1.1333
152.987	1.26001
155.09	1.3287
156.959	1.06262
